username;balances
hyyxMolk;56592,89426
RQNrweLF;29280,24324
LzSloDzM;26199,79099
wxcPsmpL;79720,33845
xzZdIKUo;59691,6650
VmSVPdku;21784,9048
dyDYdELg;61832,11523
pjmcnARI;37628,6750
qTQKUYpi;37355,67581
WSriSgFF;78290,77081
dKOqhBtG;12860,5535
otokbzRq;15132,51034
cqqaFiGb;62380,75518
WQDXGyRF;15015,9240
MtcXHTlO;30374,8416
IJkULMfY;45754,53550
EzsVTNYp;14588,78716
HQMXTJAb;79052,39036
AukYFZtv;64791,47222
kKJRMOaD;8897,55164
UHsLudwH;26351,23259
lprmQTsv;75863,73322
FjvkdakE;41184,71526
HnhgCjsi;19615,15764
DijkKPJD;86092,80115
SsMxRWLj;50004,48296
fbzyMOas;19281,34997
RXqPmWTO;31149,72837
FIxfYKSs;78689,27446
WywkOJBN;48430,2592
TdEtQaoI;8503,78815
alVcjzfI;25761,74841
IxFYLxPO;16414,72575
qUZCWcQq;41680,42483
MmNhooXz;38606,50784
OKIYxmzJ;46164,1937
tNsdAVxm;33487,55645
llNaGLZx;1264,30160
LZxhdFoH;53021,70285
TUBjpfHb;13811,58771
oyLIBVuY;82416,51710
fvHfSAuZ;41977,12157
TcoPMJXu;51395,5803
yYiZYHyh;70049,2459
yurqwnJZ;40203,3407
FrBqbZQN;83260,8413
OMVRmCZt;6051,78455
QKxZNiqp;66680,42326
OCZNAeCD;76896,84729
EkJdyBDs;42381,8072
nTGjNyVp;48454,26635
EofhmGMj;58598,49681
xdpdNXDV;14801,4422
BqYRmSWA;42794,23120
naRiLRGI;78826,75240
qJoxkyZT;71960,11922
RvbufHVR;16814,43395
PsMvNiBe;33720,6756
hBNEnfPC;12817,1707
vopmVAMM;5174,67321
BpAcXwIi;75309,34550
BzljTHzi;50607,27132
ZJDhiGCV;53645,68677
lcNMGIBo;80804,21066
MXTktqTQ;56071,58191
iRJVdeck;57250,16266
uGCLvGfS;47027,57825
czMbQCbc;45321,81770
bzjLViqY;1355,75452
cWZpByTk;66351,77880
dLCgsmKj;78911,78070
fPdAPXtD;14524,79239
tZMbFphy;41684,58391
SNuLWiWX;17334,81555
JhzUJxmh;81722,88377
bgPuhqVL;38273,83399
EvTLprge;67560,82837
zdcUunZs;64064,61768
PGTSjjum;19547,87103
ndoUIyYo;80863,54299
GmOwyaME;50258,87368
DwmraTgB;24851,53804
DxTRkzHx;69935,32797
nFyRxggE;30321,89855
wqeYpALk;52397,24003
laDhVvoo;34280,51155
TloisARe;14703,54709
NDqXAXtL;4907,67047
oIIwObqp;85204,31512
onJBpqZg;78595,73871
Pdhzppay;28443,4660
tHjkwjMC;76891,47522
zzeBJMPX;59526,51688
IrBQopuW;42031,53269
QngKYlrU;19060,30924
lMoasANf;60630,24420
ceZEqAzg;64810,85515
ZEvJNzMY;38986,63012
OwhBrgQN;12575,29311
ZtfJVXBm;72920,88371
yRuOaFSk;63444,60717
FEMuLrku;44020,78845
YufePVAx;50275,65926
kpAdTnRA;52793,66723
nWKMrWFO;7447,58051
drPNBbdw;85241,28419
vfgpfTfP;85963,40492
LZBszGLL;36294,83213
RZNNTuOd;89668,23764
JIlfDhPm;21018,51419
zkDUqqUf;31868,26004
VXCYBZFl;12255,27154
CtguEfna;21326,75089
AyOsYTnA;8846,76900
ZOlpdUBo;19391,86381
HxlhUKzm;10062,8592
iczvrtjq;30095,60740
iXOIcwmf;30742,2984
QJORLbFF;3024,63525
JcRrhola;28586,67737
PFEVwqTL;50261,55301
RZcirCrl;80385,59036
PpzIMNxO;11964,13444
ZyFingrC;12130,70593
ppBuZmpg;27160,79591
ywyHRKvy;35349,20206
LLxxJboe;18872,22667
hRxqikmL;11007,25359
WkZcrYED;70475,64609
POdQnQjw;43281,51121
MATKNqhZ;54032,46502
NYVSTWdX;63066,50385
PDVyHcAK;54818,38623
AfRZgSkG;19053,47757
qtLrxYue;82024,81643
fxFeQQgV;46499,15159
HytinyUS;28308,62355
VzuNXtrz;23835,34167
vfnIXnoY;57137,78960
XWfZvXcV;28402,43739
tVBERLNR;63596,21718
KKQvyrGi;26045,60799
uaxVLUQb;50047,15586
vNIQdvRF;56466,83682
mEZiUlhE;37018,5450
RXEpgGsE;76972,41803
lflKCbEm;88624,76572
fZNFBxPi;44188,6866
GgOBvfHe;4278,50200
UvmBdCIk;83689,13498
NRlExbIe;26769,63140
XdSgaRXi;36261,38593
gYMRXMNR;29460,72165
ducmdzVM;30779,34829
PkNaYwGf;56364,44273
xXAeCmdo;44870,20795
CEPuFiVd;85792,30787
YJEJFYVd;71390,87635
nUcsIRLQ;20326,84872
POHLILKJ;85523,14117
yHMKxCvp;1071,3554
fpXvDKUd;4570,9432
aTVSaKzf;2359,3160
OpTiiNVn;3712,10793
nEWTwgOs;52236,23289
ZNrbSAUF;64315,4972
geaAqUYa;2582,6366
jtweSsVa;53968,23950
KAKkBWAK;61624,25341
gNOnTDes;63143,72939
BJgYpiMB;61796,32270
eUbTDdtr;42346,31603
XLMcsDzW;15343,66567
dScTrKIX;68155,26827
LDerFKmb;82163,49721
bhFYTcsK;12490,44421
OJtUftKr;81067,82460
aetfsrCx;79842,61398
sNhHYItV;52088,17812
LTIfELpI;34728,58292
csgjvbet;69401,45467
huSimdic;7077,56007
jdWaboBP;34481,76305
frhwldYe;48032,69462
fiONMAKz;29933,57809
lZkeqfLF;69334,15271
FakuYZCL;8135,9366
ofLYYQSG;28212,31427
PgGPODSa;21749,52614
GMblOJnz;76724,72831
tsBEfXqe;63210,50321
bwNzHVAg;49516,20030
EebTaKYi;55072,5841
SApFkhVP;63752,7468
RCLtrrjF;26023,75010
imNIJqSI;26444,7588
yNrSCbjV;71712,70621
aBczybvV;20321,50454
WjsOFRVA;76655,35034
LMTpStCx;17308,69772
adxPZzoW;73409,75317
UGDfqHhn;30133,44818
QqHCcJLI;32849,23744
WsWeTrHj;54265,17285
zLGauAGg;86745,80681
JIGncltc;44229,42723
hKnnlfqf;49998,82070
tsbqAbPR;80423,26825
ogPXDfSj;26064,54979
QfOOIkAb;70787,41641
opSmDQdF;27707,72644
bSueUGZS;79852,7078
PQbKLepD;24165,26102
PQeMVFaL;17056,31957
apKjbLQL;75712,53516
jKAEbfCH;6225,7805
WrSLlMjo;4121,53925
MuKzohAI;71910,2153
yjlnpLcC;33490,1240
NaHVTMKP;78382,26042
mSmQOKEV;58920,77909
mVFWUIWC;24690,67157
hbqycSkV;13951,31263
PmNeDLre;73357,71289
RBSyhGVe;40447,35082
eCrwEICC;15032,53475
vwfKXmBW;13054,33712
mQLRYKyG;49796,41188
slLJTulU;2175,26386
bIWeegFy;38262,83941
lVgkfCBZ;31452,36075
WZsXwlXK;42494,51916
qoNrcUgc;14370,19263
LctJcmrk;70483,24821
HMscIuQJ;15697,1836
lPIxBYFy;80780,33391
SOMyhYpF;29204,1286
wEKxNjPa;81105,5529
ueilNPtd;30266,47454
ofLXaPkC;19254,11545
hPGfQswC;34928,59465
sUhgskeY;89104,45062
mqTDwFEQ;49436,60720
lCuRilTX;36736,40879
qMYpOLEM;6140,15847
GsWnilYx;32570,75965
wogIdbin;85071,70573
vyuCmaFr;54647,80929
foPuxxqU;88133,6077
oLsghaKH;34416,3060
NxlFAUHJ;72497,73162
LJHZjcXg;84981,19050
dDBFRJWx;15792,7574
dLbTUYTX;52666,56833
cpPDhgwZ;50165,77876
RNobjbvG;7508,64344
SoWYQfna;55016,89625
xXrndDoy;11891,47563
YeXWwDVf;2401,81318
ueVMMCOG;4521,48661
ukhryUKx;24526,79640
BcDtGMjz;57942,55532
NWtiaXmN;7491,72369
IMmfaYxn;53867,26113
vtcvePHC;58297,86543
kyqVArAs;36728,75730
SFgmOmxq;51811,50256
GIbsXXQJ;83856,21162
hlRqsRNG;30954,52507
kcmoRVmQ;44059,8657
aDGynqkb;6670,81479
UGWydlZY;70844,38937
WKbRQVVd;17803,1521
VBKWXxCU;56390,50983
iCccPvzP;69440,19409
XBUpfrAg;31269,25667
ReBViZcB;46286,71490
bBxFXWgE;84732,28075
IoPaNrPC;37237,55055
LkAxuKwj;88470,42987
mFrLzUWt;64810,80815
XtLVRfRo;44398,11331
FIokdgpm;18513,13032
EEfNtyqz;34071,32985
MjVRdswV;38035,72637
SWwQVDci;72344,2579
CwaUbsAe;41568,26269
JCSiqCjG;1364,37322
LbdDptYW;58121,59942
WWhzVAZE;10567,47583
tgtZhpal;52502,89901
BQDLFgfb;54401,83162
igzNODNA;9221,17210
LfAwDqEj;88013,6449
UeKMQQqa;37624,18836
YRWrZWlb;50744,84206
sUsbydEX;55238,12913
VZWFJkHD;45434,49003
TWRGXpHM;12459,35893
sngekHGm;69473,10086
xxuqMPCt;17787,21503
xFdviMTG;49920,53554
qAafyeGr;4205,37261
HVNuZFgb;48076,39148
gQKgvbEN;28814,75930
LaNWAXRC;42769,27532
SFEzcnkj;51405,14754
iJtsSBjR;85228,75429
nwEoyyok;60301,13257
ZeJNlqCO;22582,74331
bKDxuaPN;67214,56220
VpUJrlCw;65978,29309
iUiHvMFO;39702,84965
knWmTAvX;13233,77168
EgTYkhov;39647,17761
pLwkfVEI;70849,84786
cPrxFNpE;56567,25825
DndzwxsX;40735,69850
ZezmbqAY;33701,43873
NrglllWH;35538,68603
FdKfzVOj;19651,66136
oAAuPNsW;1856,30166
dVNdfzLI;71713,17280
yBnFjxjT;11002,15757
preiCwYe;76358,28698
DujqlNRq;60047,76426
puynebdE;30083,68049
ZAvgAVAL;71610,48693
HbsXMmmP;30046,17415
MLerdTuH;51011,58206
hTPahMPx;12322,45099
kMQuSagY;64704,27048
HAHniRQA;48749,87071
HCOhAyST;51821,6747
NrsbtNtH;68968,82444
JVhfwjCE;51395,8621
hUMyzNwE;63141,85730
CezMDiuv;53355,82272
xXeixNhU;69873,4102
RJaQVDEv;78543,19331
TguFnMQF;29424,43743
NbDSYsRn;52227,70084
nyCHCFYr;34591,64424
cDzpJmEk;71643,40682
cNhyrJcw;42716,3985
yhgsCZoY;62107,68264
UQKrqmol;85143,58483
cYBvjPxI;89681,42011
YeZKQUke;8800,66096
diqEONKw;10972,15527
eiXuOrjv;39396,25015
ROArdcMg;50063,67604
pZIjSFYg;6692,35414
AlsVxBbL;48989,46557
BCmiLifr;39695,25733
qqPdygch;80547,46110
yRFjgjer;18248,69221
VuPSuTSN;28290,20751
iEXhlYLz;35961,14784
MGXcDopM;3778,50654
bFStpRjQ;7833,1281
PBdFbsDN;50122,71224
KFBYhFDh;36110,60726
VfmtspqC;32100,73226
DGUanwuG;30175,31074
uEEemXKD;66581,36480
fwxquwdD;49334,40503
WPTSURdN;76779,1376
dfFNOMVN;47435,60668
spdzSmjU;27969,73251
OsDGdGCF;33529,20045
jbGndWHS;65218,1161
AMVANjWg;77030,72530
KgBbTiPi;12804,21115
gHJfbmsH;10541,69207
CwoEBGfA;66011,36277
xwvvVoTl;52111,48092
EYxCPKSL;49577,13624
gOTyzCnZ;73294,45505
JuPQgyCn;58869,9551
oKkTbMHa;28431,86656
aFGixwpr;12711,22510
dnuRamLR;37771,22505
OdrkNFMt;67612,22326
yDttjSKe;17050,81440
gJnieIKt;22914,34053
cFCxnNjL;88245,59561
byNHsnBl;67691,2127
QDbyztJi;64855,67148
WwKTbCct;21129,38652
EHqWfzrk;1752,14890
UHXRyjub;10352,21637
eDvRDfGi;4629,53130
ZOQcQkFh;88376,9537
yJUBAgha;2113,60675
NqUKdOyM;15013,60203
qsMmjPgU;32368,26853
ufoDJlFB;40313,26885
ZXmbSrvK;28743,13604
yFneVuDv;79899,89644
CshSRUjp;66307,44978
NYrNCxeC;54871,84669
dSBnSWIu;17467,39317
dfrsiHeC;65362,7001
lmupkTVJ;15268,70068
CVnqhIdd;53492,19787
EZjdvkvo;32636,10702
BPKoBOPR;9612,28602
hsnFAnLJ;79073,81565
qpNQbDrU;51282,28839
uNEXZaTB;29624,80518
ibZCCuwX;78665,61472
MgcTCtGq;74079,52349
GMjzqgAn;66098,48448
sflsOcAX;39641,36569
ajQMrzOw;69567,33757
UiAhQtiL;79092,56855
WwWnJRIO;36038,89832
GpcKLPeG;32838,14107
qBlkckDu;80708,68224
dslgIPxY;32898,38356
LzrXmdgx;49421,74292
VhgPIWsX;71256,5929
LMfSMHrl;13268,43838
ZZEmNWHz;78497,86283
ocYXNAJd;55889,53313
tnxLFOTg;32842,13503
HzPqulwg;23592,20833
QgMMyfXG;1176,73704
XowNMfPU;17528,51275
fRoFcGvU;82733,21132
RRVSFDZX;31924,18440
StHemxPa;39480,86487
dlLpoJFm;59784,53290
zKkqGHOl;73537,46674
vcpfcxVi;63515,17867
tCTVBHcJ;30419,2257
OrcUjSEs;79621,40543
XklDsKii;24820,87103
zTQUrDbq;89787,31538
ZmEantqV;79678,24495
GwJMSNcx;45745,82975
YWpHQenP;30030,85081
kxWHCDIy;57146,5353
lgbabnKO;1615,80507
kZjVvIoY;16830,12312
iHVSZcNj;37977,77968
JFpNGNeO;36423,33684
sBiSopFo;55025,42118
JVqpuyWV;55933,2070
tyZkYqfe;77964,48739
NfVjQdkZ;53306,68056
yStDMJIX;86319,70171
lIYwufFC;35011,27236
RLOLdayL;66426,27358
UKcusvmM;71361,52842
bUqsiXRV;22908,20993
IpVuJqdB;53366,28320
nRCqDBIm;40608,20700
CWQnhuAj;70347,1028
ayILmPlk;89009,72097
jQxIwynx;37057,85496
pLWXzqOs;81525,31450
tpHFBJKv;43420,31512
rsUxcNAF;80386,8987
gyWRsjdI;36391,7455
XrdBazez;13584,3659
WaqiYELp;30973,85097
GQdYirJp;15152,40888
wDSAfiPD;57213,32349
UOiPmjam;25474,16717
MfDZYhsS;57929,36137
PYRhHZtt;44821,50978
PCJbAuVO;57177,59646
PqLqDHZc;27801,24916
oOfdMlQv;1704,42536
ZoZgrlRN;72707,89203
xxoaSMiz;72799,13290
kdhxdeGn;12376,76292
GBJWWWVV;13872,69844
vbnWufVF;72616,86276
IYlDOuaF;18911,43643
ODhKaUVf;6908,67984
tsJSlCLp;9443,54799
prFCVuls;20375,59553
HBMbXngV;18501,89516
xtivWnte;76630,58715
dBjZYTvd;54953,16842
vQytitFe;43055,67859
lJzGuhmq;61716,65217
epMQgEgY;35345,82824
FnwxKrMP;74424,82201
UwUVVxIy;7714,35969
zEliRwFR;39436,54213
WfgufOfC;2334,54694
vcLIVDNe;46600,13970
rkFvfagi;53833,65802
NXfAmMTL;18323,58275
ydFEAFlO;30007,65796
gDZbEkfe;77520,1353
siZmTItL;88101,69707
ZmJsfuIK;78293,29144
XSmLTGvB;61011,81752
VakYJarH;8507,52159
gLMfBHwh;66311,18468
eLehaxwh;74517,80222
jrDXUspb;37716,80294
jojQjQAg;76953,13563
KDGtYnvG;75338,64612
kRsFKZfw;3452,73460
hNTgDZkE;61193,12222
ZQemYqEJ;59804,50421
LEdxcSyh;8598,38363
txonOCCP;83737,66734
bPROZeER;79450,40268
geOpXVUH;24837,68410
AUKBMKqs;54618,61741
LdurvBSy;70763,7730
mvrJMUlW;26640,31198
vOnfVbiR;82773,50404
HMNnYAWc;32621,24047
Ufadvkso;70056,32342
rifIEgig;27795,40568
SNrZPQcR;45949,74583
DiyRUBVy;58697,36981
kFbpcrvn;53710,85438
RyQNWkjO;29549,82723
QwbIZhka;48463,41804
lOZtlMSB;38461,52859
hPspxJdt;51560,54106
drCOHUJb;56028,56950
HYKCledI;60070,39291
wuwujaaX;17709,10111
drIoRxom;37044,88436
RbMqjPyK;35559,17876
OOHmxjYR;32370,71799
IYRvzHtk;56624,10879
LlyyWfPk;67052,33843
oZZxVBwD;84312,88890
psjxiTBv;39161,82319
NtlzBsUu;85396,89886
AVCeOrtA;73932,52500
HdpZIDxg;42511,53885
UkIEWzuI;45813,30771
VcbEpeXm;51653,84188
QWzryvvU;71988,21116
rRwLErQq;51008,31432
UnSlwfrX;48822,19958
nNAuDlpL;12368,30084
hgQQkijY;23923,40688
haSvOFAy;64015,29453
MUlWUbYW;85239,83267
wgxKOGxu;54145,59552
dOALuIlZ;3106,73942
vWyuuNAR;89985,77300
PPrVtUar;33406,26739
OOGjLRcI;34190,50565
LQgcytIm;84358,78927
WCYKcrbR;81725,9643
LXthZPCI;76393,84576
SkaSDFtU;55388,58715
KEiSqDsR;8219,18909
IKqZmlZj;47629,3424
YrNzVdnV;57126,68365
ywXZkXvV;37106,51130
SXhzblcv;34684,34583
mfhznJNN;3506,19601
HNtGJXfy;30359,27790
ShpULPDq;84666,34531
IfFahIdf;44063,86282
LLtFOJFx;85577,86134
jDpBGpUo;14611,89635
XqkZaMNY;87176,27511
lfabpeIf;44197,55159
HLDXKthJ;38952,82561
GBmkRLTO;23183,55212
WocytYRF;8902,89057
liEZawjS;3706,37491
vMNsoDmm;37370,66376
vRfUoCpz;11388,32973
sfWBBJws;55651,39639
qQNcuMVx;71425,88649
ifVOjAOp;32205,15490
ArhAWkUV;76229,3855
mUxteMbz;58627,85761
jQWFSHlT;67150,77152
BcyEEFmB;58744,35645
IhbkDldz;20085,68211
DvTaDmjW;73423,58494
sRvHneBc;37324,50311
cBjDjffa;31622,65057
UlXRtyjN;9378,39093
LNCVecOm;5097,87612
hWKKBvtt;51431,59617
DpwtbTeI;30669,74076
pXSVsnKr;19070,77098
SApSAguP;39258,70943
