username;balances
coSbQHZw;58688,2022
flibkrZr;34744,15780
AfSuWwxg;76725,48037
lcawiHTX;43214,43626
XrdWFsQE;15743,51595
pbuvmvAi;70945,5194
puBdNkZX;27359,31296
WuNGMIfV;45868,82831
ZybxymKr;69129,73829
OVJewirm;53971,1256
MPlzseHE;79008,6336
xjrZgQfh;11970,60494
zWwblnaS;13973,59386
OkHMMawi;65305,76726
gIpyljtx;78479,28457
EJRtYGKa;42713,70585
LzzlORjq;12701,31012
RSCTrChY;68467,67174
DxzLMcpu;68634,8525
xcqgKEdD;28679,36864
pJugUEaV;40937,78667
JtHYuoDl;68680,30296
PqHMAeHp;75824,64407
lIMaUYHN;37923,78305
xIPDTfHx;36194,41205
HXZyPugU;83621,46604
LohrkJlP;75145,39766
sJFoqyaf;44588,70838
QwOEcbGS;30182,28918
TWNppPOD;57406,72128
lwcePcKA;55937,87881
xfOTiLEs;33948,50827
